country,study_id,age_low,age_high,region,gender,n_deaths,date_start_survey,date_end_survey,matching_with_sero,cumulative,age_breakdown,gender_breakdown,for_regional_analysis,time_series,ref,notes
Switzerland,CHE1,0,999,Geneva,both,2,20/03/2020,20/03/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,0,21/03/2020,21/03/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,1,22/03/2020,22/03/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,4,23/03/2020,23/03/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,1,24/03/2020,24/03/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,7,25/03/2020,25/03/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,2,26/03/2020,26/03/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,7,27/03/2020,27/03/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,7,28/03/2020,28/03/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,9,29/03/2020,29/03/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,8,30/03/2020,30/03/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,10,31/03/2020,31/03/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,9,01/04/2020,01/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,8,02/04/2020,02/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,6,03/04/2020,03/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,13,04/04/2020,04/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,7,05/04/2020,05/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,12,06/04/2020,06/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,11,07/04/2020,07/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,14,08/04/2020,08/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,8,09/04/2020,09/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,12,10/04/2020,10/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,8,11/04/2020,11/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,8,12/04/2020,12/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,3,13/04/2020,13/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,5,14/04/2020,14/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,6,15/04/2020,15/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,7,16/04/2020,16/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,6,17/04/2020,17/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,4,18/04/2020,18/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,3,19/04/2020,19/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,3,20/04/2020,20/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,5,21/04/2020,21/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,9,22/04/2020,22/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,2,23/04/2020,23/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,5,24/04/2020,24/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,1,25/04/2020,25/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,1,26/04/2020,26/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,1,27/04/2020,27/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,1,28/04/2020,28/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,1,29/04/2020,29/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,3,30/04/2020,30/04/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,3,01/05/2020,01/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,3,02/05/2020,02/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,0,03/05/2020,03/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,2,04/05/2020,04/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,1,05/05/2020,05/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,1,06/05/2020,06/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,5,07/05/2020,07/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,0,08/05/2020,08/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,1,09/05/2020,09/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,2,10/05/2020,10/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,0,11/05/2020,11/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,1,12/05/2020,12/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,1,13/05/2020,13/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,0,14/05/2020,14/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,0,15/05/2020,15/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,0,16/05/2020,16/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,1,17/05/2020,17/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,1,18/05/2020,18/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,0,19/05/2020,19/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,0,20/05/2020,20/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,1,21/05/2020,21/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,0,22/05/2020,22/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,0,23/05/2020,23/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,0,24/05/2020,24/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,0,25/05/2020,25/05/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
United Kingdom,GBR1,0,999,Scotland,both,1,14/03/2020,14/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,0,15/03/2020,15/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,0,16/03/2020,16/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,1,17/03/2020,17/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,1,18/03/2020,18/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,3,19/03/2020,19/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,0,20/03/2020,20/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,1,21/03/2020,21/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,3,22/03/2020,22/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,4,23/03/2020,23/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,2,24/03/2020,24/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,6,25/03/2020,25/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,3,26/03/2020,26/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,8,27/03/2020,27/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,7,28/03/2020,28/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,1,29/03/2020,29/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,6,30/03/2020,30/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,22,31/03/2020,31/03/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,28,01/04/2020,01/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,29,02/04/2020,02/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,46,03/04/2020,03/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,46,04/04/2020,04/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,2,05/04/2020,05/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,2,06/04/2020,06/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,74,07/04/2020,07/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,70,08/04/2020,08/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,81,09/04/2020,09/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,48,10/04/2020,10/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,47,11/04/2020,11/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,24,12/04/2020,12/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,9,13/04/2020,13/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,40,14/04/2020,14/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,84,15/04/2020,15/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,80,16/04/2020,16/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,58,17/04/2020,17/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,56,18/04/2020,18/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,10,19/04/2020,19/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,12,20/04/2020,20/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,70,21/04/2020,21/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,77,22/04/2020,22/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,58,23/04/2020,23/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,64,24/04/2020,24/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,47,25/04/2020,25/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,18,26/04/2020,26/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,13,27/04/2020,27/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,70,28/04/2020,28/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,83,29/04/2020,29/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,60,30/04/2020,30/04/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,40,01/05/2020,01/05/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,44,02/05/2020,02/05/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,12,03/05/2020,03/05/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,5,04/05/2020,04/05/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,44,05/05/2020,05/05/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,83,06/05/2020,06/05/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
United Kingdom,GBR1,0,999,Scotland,both,59,07/05/2020,07/05/2020,exact date available - extract from time series,no,0,0,1,1,https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/,
